# PyATRAC1 Debug Log - 2025-06-11 13:45:08
# Format: [TIMESTAMP][IMPL][FILE:LINE][FUNC][CH{n}][FR{nnn}][BAND_{name}] STAGE: data_type=values |META: ... |SRC: ...
#
[2025-06-11T13:45:08.821987][PYTRAC][qmf.py:72][analysis][CH0][FR000][BAND_QMF2] QMF_BUFFER_SHIFT: OLD_TO_NEW=[0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000] |META: size=8 range=[0.000000,0.000000] sum=0.000000 mean=0.000000 nonzero=0 |SRC:
[2025-06-11T13:45:08.822084][PYTRAC][qmf.py:76][analysis][CH0][FR000][BAND_QMF2] QMF_BUFFER_FILLED: TOTAL=[0.000000,0.000000,0.000000,0.000000,0.000000...0.172849,0.268500,0.366342,0.461931,0.557055] |META: size=64 range=[-0.001564,0.557055] sum=1.896056 mean=0.029626 nonzero=18 |SRC:
[2025-06-11T13:45:08.822210][PYTRAC][qmf.py:88][analysis][CH0][FR000][BAND_QMF2] QMF_RAW_TAPS: J0=[0.000000,0.000000] |META: size=2 range=[0.000000,0.000000] sum=0.000000 mean=0.000000 nonzero=2 |SRC:
[2025-06-11T13:45:08.822460][PYTRAC][qmf.py:100][analysis][CH0][FR000][BAND_QMF2] QMF_BUTTERFLY: J0=[0.000000,0.000000] |META: size=2 range=[0.000000,0.000000] sum=0.000000 mean=0.000000 nonzero=2 |SRC:
[2025-06-11T13:45:08.822577][PYTRAC][qmf.py:88][analysis][CH0][FR000][BAND_QMF2] QMF_RAW_TAPS: J2=[0.000000,-0.000000] |META: size=2 range=[-0.000000,0.000000] sum=0.000000 mean=0.000000 nonzero=2 |SRC:
[2025-06-11T13:45:08.822654][PYTRAC][qmf.py:100][analysis][CH0][FR000][BAND_QMF2] QMF_BUTTERFLY: J2=[0.000000,0.000000] |META: size=2 range=[0.000000,0.000000] sum=0.000000 mean=0.000000 nonzero=2 |SRC:
[2025-06-11T13:45:08.822747][PYTRAC][qmf.py:88][analysis][CH0][FR000][BAND_QMF2] QMF_RAW_TAPS: J4=[0.000000,-0.000000] |META: size=2 range=[-0.000000,0.000000] sum=-0.000000 mean=-0.000000 nonzero=2 |SRC:
[2025-06-11T13:45:08.822820][PYTRAC][qmf.py:100][analysis][CH0][FR000][BAND_QMF2] QMF_BUTTERFLY: J4=[-0.000000,0.000000] |META: size=2 range=[-0.000000,0.000000] sum=0.000000 mean=0.000000 nonzero=2 |SRC:
[2025-06-11T13:45:08.822913][PYTRAC][qmf.py:88][analysis][CH0][FR000][BAND_QMF2] QMF_RAW_TAPS: J6=[0.000000,-0.000000] |META: size=2 range=[-0.000000,0.000000] sum=-0.000000 mean=-0.000000 nonzero=2 |SRC:
[2025-06-11T13:45:08.822986][PYTRAC][qmf.py:100][analysis][CH0][FR000][BAND_QMF2] QMF_BUTTERFLY: J6=[-0.000000,0.000000] |META: size=2 range=[-0.000000,0.000000] sum=0.000000 mean=0.000000 nonzero=2 |SRC:
[2025-06-11T13:45:08.825891][PYTRAC][qmf.py:103][analysis][CH0][FR000][BAND_QMF2] QMF_FINAL_LOWER: SAMPLES=[0.000000,0.000000,-0.000000,-0.000000,-0.000000...-0.000144,-0.000127,0.000167,-0.001076,0.002340] |META: size=16 range=[-0.001076,0.002340] sum=0.000996 mean=0.000062 nonzero=16 |SRC:
[2025-06-11T13:45:08.826002][PYTRAC][qmf.py:104][analysis][CH0][FR000][BAND_QMF2] QMF_FINAL_UPPER: SAMPLES=[0.000000,0.000000,0.000000,0.000000,0.000000...0.000052,-0.000293,0.000712,-0.002194,0.002389] |META: size=16 range=[-0.002194,0.002389] sum=0.000739 mean=0.000046 nonzero=16 |SRC:
[2025-06-11T13:45:08.826096][PYTRAC][qmf.py:105][analysis][CH0][FR000][BAND_QMF2] QMF_STATS: RANGE=[-3.999478,3.999478,-0.012875,0.011992] |META: size=4 range=[-3.999478,3.999478] sum=-0.000883 mean=-0.000221 nonzero=4 |SRC:
[2025-06-11T13:45:08.826205][PYTRAC][qmf.py:233][analysis][CH0][FR000][BAND_FULL] QMF_FINAL_LOW: BAND=[0.000000,0.000000,-0.000000,-0.000000,-0.000000...-3.352714,-3.550363,-3.713820,-3.841511,-3.932206] |META: size=128 range=[-3.999478,3.999478] sum=46.222390 mean=0.361112 nonzero=128 |SRC: qmf_operation=final_output
[2025-06-11T13:45:08.826369][PYTRAC][qmf.py:234][analysis][CH0][FR000][BAND_FULL] QMF_FINAL_MID: BAND=[0.000000,0.000000,0.000000,0.000000,0.000000...-0.000040,-0.000034,-0.000027,-0.000020,-0.000014] |META: size=128 range=[-0.012875,0.011992] sum=-0.013023 mean=-0.000102 nonzero=128 |SRC: qmf_operation=final_output
[2025-06-11T13:45:08.826527][PYTRAC][qmf.py:235][analysis][CH0][FR000][BAND_FULL] QMF_FINAL_HIGH: BAND=[0.000000,0.000000,0.000000,0.000000,0.000000...-0.000020,-0.000019,-0.000019,-0.000018,-0.000018] |META: size=256 range=[-0.002656,0.007297] sum=0.005866 mean=0.000023 nonzero=217 |SRC: qmf_operation=final_output
